"","eeg_event_id","card","color","participant_choice","card_value","wins_so_far","outcome","sequence_id"
"11",11,1,"black","red",0,0,1,32
"16",16,1,"red","black",0,0,1,19
"21",21,1,"black","black",1,0,0,13
"26",26,1,"red","red",1,0,0,6
"31",31,1,"red","black",0,0,1,27
"36",36,1,"red","black",0,0,1,17
"41",41,1,"red","red",1,0,0,1
"46",46,1,"black","black",1,0,1,23
"51",51,1,"red","black",0,0,1,21
"56",56,1,"black","red",0,0,1,20
"61",61,1,"black","black",1,0,0,1
"66",66,1,"red","black",0,0,1,31
"71",71,1,"black","red",0,0,1,22
"76",76,1,"black","red",0,0,1,29
"81",81,1,"black","red",0,0,1,19
"86",86,1,"red","black",0,0,1,31
"91",91,1,"black","red",0,0,0,8
"96",96,1,"black","red",0,0,1,29
"101",101,1,"red","red",1,0,0,14
"106",106,1,"black","black",1,0,0,16
"111",111,1,"black","red",0,0,0,10
"116",116,1,"red","black",0,0,0,9
"121",121,1,"red","black",0,0,1,22
"126",126,1,"red","red",1,0,1,24
"131",131,1,"red","red",1,0,1,26
"136",136,1,"red","red",1,0,1,18
"141",141,1,"black","black",1,0,0,11
"146",146,1,"black","black",1,0,0,3
"151",151,1,"red","black",0,0,1,28
"156",156,1,"black","red",0,0,0,8
"161",161,1,"red","black",0,0,1,30
"166",166,1,"red","red",1,0,0,15
"171",171,1,"black","red",0,0,0,2
"176",176,1,"black","black",1,0,0,3
"181",181,1,"red","red",1,0,0,13
"186",186,1,"black","black",1,0,0,14
"191",191,1,"black","red",0,0,1,30
"196",196,1,"red","black",0,0,0,2
"201",201,1,"red","black",0,0,0,2
"206",206,1,"black","red",0,0,1,28
"211",211,1,"black","red",0,0,1,21
"216",216,1,"black","black",1,0,1,18
"221",221,1,"black","red",0,0,1,32
"226",226,1,"black","black",1,0,0,5
"231",231,1,"red","black",0,0,1,17
"236",236,1,"black","red",0,0,0,9
"241",241,1,"black","black",1,0,0,6
"246",246,1,"red","red",1,0,0,16
"251",251,1,"black","red",0,0,1,30
"256",256,1,"red","red",1,0,1,18
"261",261,1,"black","black",1,0,0,5
"266",266,1,"red","red",1,0,0,15
"271",271,1,"red","red",1,0,0,16
"276",276,1,"black","black",1,0,0,14
"281",281,1,"black","red",0,0,1,29
"286",286,1,"red","red",1,0,0,4
"291",291,1,"black","black",1,0,1,24
"296",296,1,"black","red",0,0,1,20
"301",301,1,"black","black",1,0,0,13
"306",306,1,"black","red",0,0,0,10
"311",311,1,"red","red",1,0,0,3
"316",316,1,"red","black",0,0,0,7
"321",321,1,"black","black",1,0,1,24
"326",326,1,"black","black",1,0,0,4
"331",331,1,"red","red",1,0,0,12
"336",336,1,"black","black",1,0,1,26
"341",341,1,"red","black",0,0,1,21
"346",346,1,"black","black",1,0,0,12
"351",351,1,"red","black",0,0,1,32
"356",356,1,"red","red",1,0,1,25
"361",361,1,"red","black",0,0,0,7
"366",366,1,"black","black",1,0,0,5
"371",371,1,"black","red",0,0,0,8
"376",376,1,"red","black",0,0,1,19
"381",381,1,"black","red",0,0,1,27
"386",386,1,"red","red",1,0,1,25
"391",391,1,"black","red",0,0,0,10
"396",396,1,"red","red",1,0,1,26
"401",401,1,"black","black",1,0,0,11
"406",406,1,"black","black",1,0,1,23
